event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,stbfm,4500,3242,2778,True,0.41073516599999493,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004500_metadata.json,464.0,0.1431215299198026,487.0,500.0,60.0,0.00390625,80.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_004500_attempts.csv
15,online_stsp,5000,1457,1457,True,2.1407312500000018,21.647454416000002,0.02039433299999871,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_005000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_005000_metadata.json,,,,,,,,
15,sts_miner,5000,1457,1467,True,1.4582453330000362,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005000_metadata.json,10.0,0.0068634179821551134,219.0,250.0,120.0,24.0,37.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005000_attempts.csv
15,stbfm,5000,1457,1558,True,0.5869079170000191,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005000_metadata.json,101.0,0.06932052161976665,219.0,250.0,120.0,0.0,40.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005000_attempts.csv
15,online_stsp,5500,497,497,True,2.4714283339999987,24.11888275,0.004385249999998564,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_005500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_005500_metadata.json,,,,,,,,
15,sts_miner,5500,497,487,True,0.7622562500000072,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005500_metadata.json,10.0,0.02012072434607646,75.0,250.0,60.0,80.0,30.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_005500_attempts.csv
15,stbfm,5500,497,552,True,0.5766075000000228,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005500_metadata.json,55.0,0.11066398390342053,75.0,500.0,120.0,0.01953125,90.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_005500_attempts.csv
15,online_stsp,6000,586,586,True,2.2170456660000006,26.335928416,0.007202958000000592,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_006000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_006000_metadata.json,,,,,,,,
15,sts_miner,6000,586,583,True,0.9064607920000185,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006000_metadata.json,3.0,0.005119453924914676,88.0,250.0,60.0,48.0,28.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_006000_attempts.csv
15,stbfm,6000,586,580,True,0.8478939999999966,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006000_metadata.json,6.0,0.010238907849829351,88.0,250.0,240.0,0.0078125,49.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_006000_attempts.csv
