event_type_count,online_theta,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
25,0.15,stbfm,31500,82,77,True,2.8174712079926394,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031500_metadata.json,5.0,0.06097560975609756,9.0,250.0,60.0,0.01953125,30.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_031500_attempts.csv
25,0.15,online_stsp,32000,1322,1322,True,4.3614042500266805,312.6593834999949,0.015290917013771832,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_032000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_032000_metadata.json,,,,,,,,
25,0.15,sts_miner,32000,1322,1323,True,8.721722250047605,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032000_metadata.json,1.0,0.0007564296520423601,133.0,250.0,15.0,12.0,6.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032000_attempts.csv
25,0.15,stbfm,32000,1322,1334,True,1.8822194169624709,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032000_metadata.json,12.0,0.009077155824508321,133.0,250.0,15.0,0.0,10.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032000_attempts.csv
25,0.15,online_stsp,32500,1288,1288,True,4.680959374993108,317.340342874988,0.018384458031505346,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_032500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_032500_metadata.json,,,,,,,,
25,0.15,sts_miner,32500,1288,1294,True,8.741965624969453,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032500_metadata.json,6.0,0.004658385093167702,129.0,250.0,15.0,24.0,7.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_032500_attempts.csv
25,0.15,stbfm,32500,1288,1336,True,1.9304322919924743,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032500_metadata.json,48.0,0.037267080745341616,129.0,250.0,15.0,0.0,10.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_032500_attempts.csv
25,0.15,online_stsp,33000,348,348,True,5.362142457976006,322.702485332964,0.0037696249783039093,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_033000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_033000_metadata.json,,,,,,,,
25,0.15,sts_miner,33000,348,377,True,3.945265458954964,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033000_metadata.json,29.0,0.08333333333333333,35.0,250.0,15.0,320.0,12.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_033000_attempts.csv
25,0.15,stbfm,33000,348,319,True,2.303778166999109,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033000_metadata.json,29.0,0.08333333333333333,35.0,250.0,30.0,0.00390625,20.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_033000_attempts.csv
