algorithm,online_theta,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,0.2,27000,979,510,2.8145128329924773,143.708756292006,0.012002708012005314,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_027000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_027000_metadata.json
online_stsp,0.2,27500,23,21,2.8173081669956446,146.52606445900165,0.000460749986814335,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_027500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_027500_metadata.json
online_stsp,0.2,28000,1122,418,2.7322209580161143,149.25828541701776,0.01189012499526143,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_028000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_028000_metadata.json
online_stsp,0.2,28500,511,328,2.900862916983897,152.15914833400166,0.004667250002967194,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_028500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_028500_metadata.json
online_stsp,0.2,29000,188,110,2.5052987080125604,154.66444704201422,0.0020925830176565796,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_029000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_029000_metadata.json
online_stsp,0.2,29500,367,207,2.6116348750074394,157.27608191702166,0.0034004590124823153,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_029500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_029500_metadata.json
online_stsp,0.2,30000,563,241,2.740209582989337,160.016291500011,0.005774749995907769,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_030000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_030000_metadata.json
online_stsp,0.2,30500,430,253,2.4933045840007253,162.50959608401172,0.0044915830076206475,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_030500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_030500_metadata.json
online_stsp,0.2,31000,196,144,2.8423748750064988,165.35197095901822,0.0018820420082192868,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_031000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_031000_metadata.json
online_stsp,0.2,31500,1186,392,2.7586662499816157,168.11063720899983,0.013638417003676295,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_031500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_031500_metadata.json
